pow,sunshine,humdt,sunshine_humdt,temp_press,wnd_spd,visiblt,cloud2,pow_Y
0.12485549132947978,0.3,0.5795455,0.4198063,0.528777,0.16346155,0.22080623,0.1,0.02716763005780347
0.08554913294797688,0.0,0.7045455,0.29386437,0.39928064,0.05769231,0.20723093,0.0,0.0005780346820809249
0.015028901734104047,0.0,0.6931819,0.30516684,0.42446044,0.15384616,0.21720462,0.90000004,0.0
0.0,0.0,0.65909094,0.3390742,0.47122306,0.13461539,0.24296996,0.1,0.0
0.0,0.0,0.79545456,0.20344454,0.36690646,0.048076924,0.20930879,0.3,0.0
0.0,0.0,0.97727275,0.022604942,0.2769784,0.028846156,0.07023134,0.90000004,0.0
0.0,0.0,0.97727275,0.022604942,0.27338135,0.01923077,0.06330517,1.0,0.0
0.0023121387283236996,0.0,0.97727275,0.022604942,0.26618707,0.0,0.07230919,1.0,0.004624277456647399
0.0023121387283236996,0.0,0.9659091,0.033907413,0.24820146,0.07692308,0.082975484,1.0,0.014450867052023123
0.009826589595375723,0.0,0.8295455,0.16953713,0.33453238,0.13461539,0.172046,0.3,0.04277456647398844
0.03179190751445087,0.3,0.7159091,0.28417647,0.4208634,0.10576923,0.19088517,0.5,0.02716763005780347
0.030057803468208095,0.0,0.72727275,0.27125943,0.4028777,0.07692308,0.19046961,0.90000004,0.027745664739884393
0.034682080924855495,0.0,0.75000006,0.24865448,0.38489208,0.09615385,0.20695388,0.1,0.039884393063583816
0.02138728323699422,0.0,0.7386364,0.2599569,0.38489208,0.1923077,0.1886688,0.90000004,0.04046242774566474
0.03179190751445087,0.1,0.6363637,0.3622175,0.47841728,0.15384616,0.2100014,0.5,0.042196531791907514
0.014450867052023123,0.6,0.5,0.50053823,0.61151075,0.17307693,0.24726418,0.0,0.02716763005780347
0.013294797687861272,0.7,0.48863637,0.5123789,0.6223022,0.21153846,0.26693448,0.7,0.013294797687861272
0.011560693641618498,1.0,0.5,0.5026911,0.61151075,0.20192307,0.22052917,0.6,0.006936416184971098
0.0028901734104046246,0.2,0.5909091,0.40796554,0.5215828,0.10576923,0.27566147,0.8,0.0
0.0,0.3,0.75000006,0.25026911,0.3956834,0.07692308,0.08131321,0.4,0.0
0.0,0.0,0.85227275,0.14693213,0.3273381,0.10576923,0.22288407,0.5,0.0
0.0,0.0,0.97727275,0.022604942,0.2769784,0.01923077,0.07480261,0.2,0.0
0.0,0.0,0.97727275,0.022604942,0.2769784,0.01923077,0.07895831,1.0,0.0017341040462427746
0.007514450867052024,0.3,0.9659091,0.035521984,0.27338135,0.048076924,0.10638593,0.5,0.04566473988439307
0.09826589595375723,0.7,0.8636364,0.1393972,0.32014382,0.09615385,0.17412385,0.0,0.12369942196531793
0.2294797687861272,0.9,0.68181825,0.32131314,0.44964033,0.09615385,0.25668377,0.0,0.16936416184971098
0.3300578034682081,1.0,0.6136364,0.38966632,0.4964029,0.24038462,0.21789722,0.0,0.29884393063583814
0.3878612716763006,1.0,0.5568182,0.44617867,0.5395683,0.25,0.21401857,0.1,0.36820809248554914
0.3959537572254335,0.6,0.5113637,0.4892357,0.59352523,0.25,0.23992243,0.2,0.41907514450867056
0.3329479768786127,0.7,0.60227275,0.3993541,0.5071943,0.3846154,0.22052917,0.2,0.35375722543352606
0.31213872832369943,0.8,0.60227275,0.39989233,0.4892087,0.21153846,0.23313479,0.3,0.29653179190751444
0.192485549132948,1.0,0.6363637,0.36706138,0.46043167,0.35576925,0.20099738,0.3,0.23352601156069366
0.021965317919075147,0.6,0.7045455,0.29709363,0.41007197,0.2596154,0.16567393,0.2,0.08670520231213873
0.0023121387283236996,0.0,0.7613637,0.23735195,0.36690646,0.30769232,0.15944037,0.4,0.016763005780346823
